iter	Passed	Remaining
252	28383	27710
253	28485	27588
254	28585	27464
255	28684	27340
256	28784	27216
257	28887	27095
258	28990	26975
259	29150	26907
260	29254	26788
261	29359	26669
262	29465	26552
263	29569	26433
264	29680	26320
265	29782	26199
266	29894	26087
267	29998	25969
268	30105	25852
269	30207	25731
270	30312	25614
271	30414	25494
272	30527	25384
273	30630	25264
274	30734	25146
275	30837	25027
276	30943	24911
277	31044	24790
278	31143	24669
279	31244	24549
280	31435	24499
281	31537	24380
282	31643	24263
283	31753	24150
284	31864	24038
285	31972	23923
286	32076	23805
287	32175	23684
288	32281	23568
289	32387	23452
290	32494	23337
291	32592	23216
292	32692	23097
293	32799	22981
294	32900	22862
295	33004	22746
296	33117	22636
297	33228	22524
298	33336	22410
299	33436	22290
300	33616	22224
301	33724	22110
302	33831	21995
303	33938	21881
304	34047	21767
305	34148	21649
306	34257	21536
307	34357	21417
308	34458	21299
309	34557	21180
310	34663	21065
311	34762	20946
312	34869	20832
313	34974	20717
314	35077	20601
315	35177	20482
316	35283	20368
317	35387	20253
318	35493	20139
319	35605	20027
320	35768	19945
321	35875	19832
322	35976	19714
323	36082	19600
324	36183	19483
325	36284	19366
326	36393	19253
327	36495	19138
328	36594	19020
329	36698	18905
330	36797	18788
331	36904	18674
332	37007	18559
333	37113	18445
334	37218	18331
335	37324	18217
336	37427	18103
337	37533	17989
338	37635	17873
339	37737	17758
340	37841	17644
341	38020	17565
342	38125	17451
343	38233	17338
344	38344	17227
345	38452	17114
346	38554	16999
347	38658	16885
348	38758	16769
349	38864	16656
350	38972	16544
351	39078	16430
352	39176	16314
353	39288	16203
354	39394	16090
355	39498	15977
356	39597	15861
357	39701	15747
358	39803	15633
359	39913	15522
360	40017	15408
361	40185	15319
362	40294	15207
363	40394	15092
364	40501	14979
365	40599	14864
366	40708	14752
367	40810	14638
368	40919	14527
369	41023	14413
370	41132	14302
371	41236	14188
372	41339	14075
373	41450	13964
374	41553	13851
375	41667	13741
376	41769	13627
377	41875	13515
378	41974	13400
379	42076	13287
380	42178	13173
381	42353	13082
382	42460	12970
383	42561	12857
384	42672	12746
385	42771	12631
386	42880	12520
387	42982	12407
388	43083	12293
389	43183	12179
390	43288	12067
391	43390	11954
392	43499	11843
393	43606	11731
394	43709	11618
395	43809	11505
396	43923	11395
397	44023	11282
398	44126	11169
